Player_Pairs,Number_of_Partnerships,Unbroken,Total_Runs,Highest_Runs,Avg_Runs_Per_Dismissal,Century_Partnerships,50Runs_Partnerships,Country
AD Hales & MJ Lumb,18,1,705,143*,41.47,2,3,England
JC Buttler & EJG Morgan,20,4,558,114*,34.87,1,2,England
AD Hales & JJ Roy,22,0,526,82,23.9,0,2,England
AD Hales & EJG Morgan,13,1,478,152,39.83,2,0,England
EJG Morgan & LJ Wright,15,0,467,95,31.13,0,4,England
C Kieswetter & KP Pietersen,10,0,443,111,44.3,1,2,England
AD Hales & JE Root,13,0,410,72,31.53,0,5,England
PD Collingwood & KP Pietersen,14,0,370,100,26.42,1,1,England
JC Buttler & JE Root,12,1,365,75,33.18,0,3,England
AD Hales & LJ Wright,14,1,358,69,27.53,0,3,England
EJG Morgan & JE Root,15,0,323,83,21.53,0,2,England
JC Buttler & JJ Roy,7,0,319,95,45.57,0,3,England
EJG Morgan & KP Pietersen,10,2,306,112*,38.25,1,1,England
PD Collingwood & OA Shah,7,0,295,102,42.14,1,1,England
C Kieswetter & MJ Lumb,9,0,230,68,25.55,0,1,England
AD Hales & C Kieswetter,11,1,224,128*,22.4,1,0,England
AD Hales & DJ Malan,3,0,214,105,71.33,1,1,England
RS Bopara & AD Hales,3,1,208,159,104,1,0,England
JM Bairstow & AD Hales,4,1,189,98*,63,0,2,England
RS Bopara & EJG Morgan,9,0,181,73,20.11,0,1,England
KP Pietersen & IJL Trott,5,0,179,98,35.8,0,2,England
PD Collingwood & EJG Morgan,5,1,178,98,44.5,0,1,England
RS Bopara & JC Buttler,7,0,171,45,24.42,0,0,England
JC Buttler & AD Hales,4,0,164,76,41,0,1,England
RS Bopara & LJ Wright,8,0,160,102,20,1,0,England
MM Ali & EJG Morgan,5,0,155,135,31,1,0,England
RS Bopara & KP Pietersen,5,0,147,71,29.4,0,2,England
IR Bell & KP Pietersen,3,1,146,79*,73,0,1,England
JE Root & JJ Roy,4,0,136,61,34,0,1,England
JE Root & BA Stokes,7,1,135,52,22.5,0,1,England
RS Bopara & TT Bresnan,6,1,127,47,25.4,0,0,England
DJ Malan & EJG Morgan,2,0,127,93,63.5,0,1,England
RS Bopara & CJ Jordan,5,1,123,36,30.75,0,0,England
JM Bairstow & JC Buttler,8,1,116,50,16.57,0,1,England
TT Bresnan & EJG Morgan,6,1,115,33*,23,0,0,England
DL Maddy & VS Solanki,2,0,115,62,57.5,0,2,England
KP Pietersen & OA Shah,4,0,114,66,28.5,0,1,England
JM Bairstow & JJ Roy,1,0,110,110,110,1,0,England
SW Billings & JC Buttler,3,0,109,43,36.33,0,0,England
AD Mascarenhas & OA Shah,5,1,109,69*,27.25,0,1,England
JC Buttler & JM Vince,4,0,108,36,27,0,0,England
SW Billings & EJG Morgan,2,0,107,65,53.5,0,1,England
JE Root & JM Vince,3,0,101,48,33.66,0,0,England
RS Bopara & JE Root,3,1,98,95,49,0,1,England
JM Bairstow & EJG Morgan,2,0,97,81,48.5,0,1,England
EJG Morgan & JM Vince,2,0,96,76,48,0,1,England
EJG Morgan & MH Yardy,2,2,94,67*,-,0,1,England
PD Collingwood & MH Yardy,1,0,91,91,91,0,1,England
SW Billings & JJ Roy,4,0,87,42,21.75,0,0,England
EJG Morgan & SR Patel,3,0,82,55,27.33,0,1,England
KP Pietersen & ME Trescothick,3,0,82,51,27.33,0,1,England
SR Patel & KP Pietersen,2,0,80,60,40,0,1,England
MM Ali & DJ Willey,3,1,79,57*,39.5,0,1,England
P Mustard & LJ Wright,2,0,77,65,38.5,0,1,England
IR Bell & SM Davies,2,0,76,60,38,0,1,England
TT Bresnan & SCJ Broad,3,1,74,34,37,0,0,England
JC Buttler & DJ Willey,5,1,73,24,18.25,0,0,England
MM Ali & MJ Lumb,1,0,72,72,72,0,1,England
JC Buttler & SR Patel,4,0,71,38,17.75,0,0,England
AN Cook & IJL Trott,2,0,70,45,35,0,0,England
JJ Roy & BA Stokes,2,0,70,47,35,0,0,England
PD Collingwood & AD Mascarenhas,4,0,67,40,16.75,0,0,England
GO Jones & ME Trescothick,2,0,66,38,33,0,0,England
AN Cook & MJ Prior,2,0,65,40,32.5,0,0,England
A Flintoff & OA Shah,4,0,65,30,16.25,0,0,England
JC Buttler & JC Tredwell,3,2,64,35,64,0,0,England
KP Pietersen & LJ Wright,3,1,64,53,32,0,1,England
SCJ Broad & GP Swann,8,3,62,33*,12.4,0,0,England
PD Collingwood & AJ Strauss,2,0,62,49,31,0,0,England
MJ Lumb & LJ Wright,3,0,60,60,20,0,1,England
JM Vince & CR Woakes,1,0,60,60,60,0,1,England
AJ Strauss & ME Trescothick,2,0,59,59,29.5,0,1,England
RS Bopara & SM Davies,2,0,58,33,29,0,0,England
JM Bairstow & BA Stokes,2,0,57,37,28.5,0,0,England
JC Buttler & C Kieswetter,2,0,57,48,28.5,0,0,England
KP Pietersen & MJ Prior,2,0,55,31,27.5,0,0,England
MJ Prior & OA Shah,1,0,55,55,55,0,1,England
RS Bopara & PD Collingwood,2,0,54,31,27,0,0,England
C Kieswetter & EJG Morgan,3,0,53,21,17.66,0,0,England
OA Shah & LJ Wright,2,0,53,42,26.5,0,0,England
JWM Dalrymple & ME Trescothick,2,0,52,47,26,0,0,England
MM Ali & BA Stokes,4,1,51,38,17,0,0,England
SR Patel & GP Swann,1,0,51,51,51,0,1,England
