Player 1,Player 2,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
AD Hales, MJ Lumb,2012-2014,2012,2014,18,1,705,143*,41.47,2,3,England
JC Buttler, EJG Morgan,2012-2018,2012,2018,20,4,558,114*,34.87,1,2,England
AD Hales, JJ Roy,2014-2018,2014,2018,22,0,526,82,23.9,0,2,England
AD Hales, EJG Morgan,2012-2018,2012,2018,13,1,478,152,39.83,2,0,England
EJG Morgan, LJ Wright,2009-2013,2009,2013,15,0,467,95,31.13,0,4,England
C Kieswetter, KP Pietersen,2010-2012,2010,2012,10,0,443,111,44.3,1,2,England
AD Hales, JE Root,2014-2018,2014,2018,13,0,410,72,31.53,0,5,England
PD Collingwood, KP Pietersen,2007-2011,2007,2011,14,0,370,100,26.42,1,1,England
JC Buttler, JE Root,2013-2018,2013,2018,12,1,365,75,33.18,0,3,England
AD Hales, LJ Wright,2012-2014,2012,2014,14,1,358,69,27.53,0,3,England
EJG Morgan, JE Root,2013-2017,2013,2017,15,0,323,83,21.53,0,2,England
JC Buttler, JJ Roy,2016-2018,2016,2018,7,0,319,95,45.57,0,3,England
EJG Morgan, KP Pietersen,2009-2012,2009,2012,10,2,306,112*,38.25,1,1,England
PD Collingwood, OA Shah,2007-2009,2007,2009,7,0,295,102,42.14,1,1,England
C Kieswetter, MJ Lumb,2010-2012,2010,2012,9,0,230,68,25.55,0,1,England
AD Hales, C Kieswetter,2011-2012,2011,2012,11,1,224,128*,22.4,1,0,England
AD Hales, DJ Malan,2017-2018,2017,2018,3,0,214,105,71.33,1,1,England
RS Bopara, AD Hales,2012-2014,2012,2014,3,1,208,159,104,1,0,England
JM Bairstow, AD Hales,2012-2018,2012,2018,4,1,189,98*,63,0,2,England
RS Bopara, EJG Morgan,2010-2014,2010,2014,9,0,181,73,20.11,0,1,England
KP Pietersen, IJL Trott,2007-2010,2007,2010,5,0,179,98,35.8,0,2,England
PD Collingwood, EJG Morgan,2009-2011,2009,2011,5,1,178,98,44.5,0,1,England
RS Bopara, JC Buttler,2013-2014,2013,2014,7,0,171,45,24.42,0,0,England
JC Buttler, AD Hales,2014-2018,2014,2018,4,0,164,76,41,0,1,England
RS Bopara, LJ Wright,2009-2014,2009,2014,8,0,160,102,20,1,0,England
MM Ali, EJG Morgan,2014-2016,2014,2016,5,0,155,135,31,1,0,England
RS Bopara, KP Pietersen,2009-2012,2009,2012,5,0,147,71,29.4,0,2,England
IR Bell, KP Pietersen,2008-2011,2008,2011,3,1,146,79*,73,0,1,England
JE Root, JJ Roy,2016-2017,2016,2017,4,0,136,61,34,0,1,England
JE Root, BA Stokes,2014-2017,2014,2017,7,1,135,52,22.5,0,1,England
RS Bopara, TT Bresnan,2014-2014,2014,2014,6,1,127,47,25.4,0,0,England
DJ Malan, EJG Morgan,2018-2018,2018,2018,2,0,127,93,63.5,0,1,England
RS Bopara, CJ Jordan,2014-2014,2014,2014,5,1,123,36,30.75,0,0,England
JM Bairstow, JC Buttler,2012-2018,2012,2018,8,1,116,50,16.57,0,1,England
TT Bresnan, EJG Morgan,2009-2011,2009,2011,6,1,115,33*,23,0,0,England
DL Maddy, VS Solanki,2007-2007,2007,2007,2,0,115,62,57.5,0,2,England
KP Pietersen, OA Shah,2007-2009,2007,2009,4,0,114,66,28.5,0,1,England
JM Bairstow, JJ Roy,2017-2017,2017,2017,1,0,110,110,110,1,0,England
SW Billings, JC Buttler,2015-2018,2015,2018,3,0,109,43,36.33,0,0,England
AD Mascarenhas, OA Shah,2007-2009,2007,2009,5,1,109,69*,27.25,0,1,England
JC Buttler, JM Vince,2015-2018,2015,2018,4,0,108,36,27,0,0,England
SW Billings, EJG Morgan,2015-2018,2015,2018,2,0,107,65,53.5,0,1,England
JE Root, JM Vince,2015-2016,2015,2016,3,0,101,48,33.66,0,0,England
RS Bopara, JE Root,2013-2014,2013,2014,3,1,98,95,49,0,1,England
JM Bairstow, EJG Morgan,2012-2013,2012,2013,2,0,97,81,48.5,0,1,England
EJG Morgan, JM Vince,2015-2015,2015,2015,2,0,96,76,48,0,1,England
EJG Morgan, MH Yardy,2010-2010,2010,2010,2,2,94,67*,-,0,1,England
PD Collingwood, MH Yardy,2007-2007,2007,2007,1,0,91,91,91,0,1,England
SW Billings, JJ Roy,2017-2017,2017,2017,4,0,87,42,21.75,0,0,England
