Player,Career Span,Start,End,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Innings_Score,Highest_Innings_Score_Num,Batting_Avg,Balls_Faced,Strike_Rate,100_Scored,50_Scored,Ducks,4sBoundary,6sBoundary,Country,RandX,RandY
EJG Morgan ,2009-2018,2009,2018,77,75,14,1734,85*,85,28.42,1320,131.36,0,9,3,129,77,England,809,1
AD Hales ,2011-2018,2011,2018,57,57,7,1605,116*,116,32.1,1178,136.24,1,8,4,171,52,England,820,93
JC Buttler ,2011-2018,2011,2018,66,58,11,1260,73*,73,26.8,912,138.15,0,7,3,102,53,England,909,927
KP Pietersen ,2005-2013,2005,2013,37,36,5,1176,79,79,37.93,831,141.51,0,7,1,119,32,England,744,712
JE Root ,2012-2018,2012,2018,28,26,4,787,90*,90,35.77,612,128.59,0,4,1,80,16,England,691,613
LJ Wright ,2007-2014,2007,2014,51,45,5,759,99*,99,18.97,554,137,0,4,9,68,31,England,718,1059
JJ Roy ,2014-2018,2014,2018,32,32,0,743,78,78,23.21,512,145.11,0,4,4,75,35,England,498,828
RS Bopara ,2008-2014,2008,2014,38,35,10,711,65*,65,28.44,599,118.69,0,3,0,54,17,England,1011,440
PD Collingwood ,2005-2011,2005,2011,35,33,2,583,79,79,18.8,459,127.01,0,3,3,37,24,England,8,47
MJ Lumb ,2010-2014,2010,2014,27,27,1,552,63,63,21.23,413,133.65,0,3,1,64,21,England,832,931
C Kieswetter ,2010-2012,2010,2012,25,25,1,526,63,63,21.91,470,111.91,0,3,2,47,23,England,162,653
JM Bairstow ,2011-2018,2011,2018,27,22,6,396,60*,60,24.75,315,125.71,0,2,1,33,15,England,835,868
OA Shah ,2007-2009,2007,2009,17,15,1,347,55*,55,24.78,284,122.18,0,1,0,26,13,England,870,855
DJ Malan ,2017-2018,2017,2018,5,5,0,250,78,78,50,166,150.6,0,4,0,26,11,England,153,350
MM Ali ,2014-2018,2014,2018,25,22,6,235,72*,72,14.68,198,118.68,0,1,6,21,9,England,563,714
BA Stokes ,2011-2018,2011,2018,23,20,5,232,38,38,15.46,178,130.33,0,0,1,20,9,England,258,98
TT Bresnan ,2006-2014,2006,2014,34,22,9,216,47*,47,16.61,170,127.05,0,0,3,16,6,England,192,269
SW Billings ,2015-2018,2015,2018,17,15,0,205,53,53,13.66,152,134.86,0,1,1,18,8,England,551,283
JM Vince ,2015-2018,2015,2018,7,7,0,194,46,46,27.71,165,117.57,0,0,0,20,5,England,720,113
SR Patel ,2011-2013,2011,2013,18,14,2,189,67,67,15.75,173,109.24,0,1,2,17,5,England,1063,908
IR Bell ,2006-2014,2006,2014,8,8,1,188,60*,60,26.85,163,115.33,0,1,0,23,2,England,623,1100
CJ Jordan ,2014-2018,2014,2018,35,23,10,168,27*,27,12.92,144,116.66,0,0,2,12,7,England,36,556
ME Trescothick ,2005-2006,2005,2006,3,3,0,166,72,72,55.33,131,126.71,0,2,0,23,1,England,787,570
DJ Willey ,2015-2018,2015,2018,24,17,5,152,29*,29,12.66,114,133.33,0,0,1,8,9,England,925,982
IJL Trott ,2007-2010,2007,2010,7,7,1,138,51,51,23,144,95.83,0,1,0,9,3,England,513,930
MJ Prior ,2007-2010,2007,2010,10,8,2,127,32,32,21.16,100,127,0,0,1,11,5,England,64,481
AD Mascarenhas ,2007-2009,2007,2009,14,13,5,123,31,31,15.37,100,123,0,0,3,8,5,England,543,538
SCJ Broad ,2006-2014,2006,2014,56,26,10,118,18*,18,7.37,118,100,0,0,2,7,3,England,508,103
DL Maddy ,2007-2007,2007,2007,4,4,0,113,50,50,28.25,80,141.25,0,1,0,12,3,England,738,777
GP Swann ,2008-2012,2008,2012,39,16,11,104,34,34,20.8,89,116.85,0,0,2,9,1,England,259,994
SM Davies ,2009-2011,2009,2011,5,5,0,102,33,33,20.4,82,124.39,0,0,0,12,0,England,1023,522
MH Yardy ,2006-2011,2006,2011,14,8,5,96,35*,35,32,72,133.33,0,0,3,9,1,England,1044,429
CR Woakes ,2011-2015,2011,2015,8,7,4,91,37,37,30.33,63,144.44,0,0,1,4,5,England,649,267
A Flintoff ,2005-2007,2005,2007,7,7,1,76,31,31,12.66,60,126.66,0,0,1,7,2,England,624,503
VS Solanki ,2005-2007,2005,2007,3,3,0,76,43,43,25.33,61,124.59,0,0,0,10,1,England,238,638
AJ Strauss ,2005-2009,2005,2009,4,4,0,73,33,33,18.25,64,114.06,0,0,1,9,0,England,57,55
AN Cook ,2007-2009,2007,2009,4,4,0,61,26,26,15.25,54,112.96,0,0,0,10,0,England,237,333
JWM Dalrymple ,2006-2007,2006,2007,3,3,0,60,32,32,20,57,105.26,0,0,0,6,0,England,618,558
P Mustard ,2008-2008,2008,2008,2,2,0,60,40,40,30,37,162.16,0,0,0,5,4,England,13,45
AU Rashid ,2009-2018,2009,2018,33,14,8,47,9*,9,7.83,55,85.45,0,0,0,4,0,England,830,946
LE Plunkett ,2006-2018,2006,2018,20,11,4,42,18,18,6,34,123.52,0,0,3,3,1,England,595,529
JL Denly ,2009-2018,2009,2018,6,6,0,40,20,20,6.66,46,86.95,0,0,2,5,0,England,923,967
JS Foster ,2009-2009,2009,2009,5,5,2,37,14*,14,12.33,32,115.62,0,0,0,0,1,England,1080,987
GO Jones ,2005-2006,2005,2006,2,2,1,33,19,19,33,25,132,0,0,0,5,0,England,853,234
JC Tredwell ,2012-2014,2012,2014,17,6,3,32,22,22,10.66,20,160,0,0,1,4,1,England,753,11
PA Nixon ,2007-2007,2007,2007,1,1,1,31,31*,31,-,22,140.9,0,0,0,2,1,England,372,415
MP Vaughan ,2005-2007,2005,2007,2,2,0,27,27,27,13.5,22,122.72,0,0,1,4,0,England,543,283
JW Dernbach ,2011-2014,2011,2014,34,7,2,24,12,12,4.8,21,114.28,0,0,1,3,0,England,496,598
CP Schofield ,2007-2007,2007,2007,4,4,3,24,9*,9,24,20,120,0,0,0,2,0,England,753,15
LA Dawson ,2016-2018,2016,2018,6,2,1,17,10,10,17,8,212.5,0,0,0,2,1,England,1051,370
LS Livingstone ,2017-2017,2017,2017,2,2,0,16,16,16,8,19,84.21,0,0,1,1,0,England,866,492
SG Borthwick ,2011-2011,2011,2011,1,1,0,14,14,14,14,16,87.5,0,0,0,2,0,England,808,173
ST Finn ,2011-2015,2011,2015,21,3,3,14,8*,8,-,19,73.68,0,0,0,1,0,England,865,46
CMW Read ,2006-2006,2006,2006,1,1,0,13,13,13,13,11,118.18,0,0,0,2,0,England,64,170
RWT Key ,2009-2009,2009,2009,1,1,1,10,10*,10,-,8,125,0,0,0,0,0,England,381,719
MA Wood ,2015-2018,2015,2018,4,2,2,10,5*,5,-,12,83.33,0,0,0,1,0,England,571,892
TK Curran ,2017-2018,2017,2018,7,3,2,8,6,6,8,6,133.33,0,0,0,0,1,England,341,325
MA Carberry ,2014-2014,2014,2014,1,1,0,7,7,7,7,7,100,0,0,0,1,0,England,897,998
JN Snape ,2007-2007,2007,2007,1,1,0,7,7,7,7,11,63.63,0,0,0,0,0,England,627,477
RJ Sidebottom ,2007-2010,2007,2010,18,1,1,5,5*,5,-,4,125,0,0,0,1,0,England,139,826
GJ Batty ,2009-2009,2009,2009,1,1,0,4,4,4,4,7,57.14,0,0,0,0,0,England,867,573
A Khan ,2009-2009,2009,2009,1,1,0,2,2,2,2,4,50,0,0,0,0,0,England,840,124
RJ Kirtley ,2007-2007,2007,2007,1,1,1,2,2*,2,-,4,50,0,0,0,0,0,England,325,631
JM Anderson ,2007-2009,2007,2009,19,4,3,1,1*,1,1,2,50,0,0,1,0,0,England,640,116
EC Joyce ,2006-2007,2006,2007,2,1,0,1,1,1,1,3,33.33,0,0,0,0,0,England,970,219
