Player_1,Player_2,Innings_Span,First_Innings,Last_Innings,Number_of_Partnerships,Unbroken,Total_Runs,Highest_Runs,Avg_Runs_Per_Dismissal,Century_Partnerships,50Runs_Partnerships,Country,Player_Pairs
Asghar Afghan, Mohammad Shahzad,2013-2018,2013,2018,14,0,687,110,49.07,1,5,Afghanistan,Asghar Afghan & Mohammad Shahzad
Mohammad Nabi, Samiullah Shinwari,2010-2018,2010,2018,22,0,550,98,25,0,4,Afghanistan,Mohammad Nabi & Samiullah Shinwari
Mohammad Shahzad, Nawroz Mangal,2010-2017,2010,2017,20,2,534,91,29.66,0,5,Afghanistan,Mohammad Shahzad & Nawroz Mangal
Mohammad Shahzad, Usman Ghani,2015-2018,2015,2018,13,0,515,95,39.61,0,5,Afghanistan,Mohammad Shahzad & Usman Ghani
Asghar Afghan, Samiullah Shinwari,2010-2018,2010,2018,16,2,471,69*,33.64,0,4,Afghanistan,Asghar Afghan & Samiullah Shinwari
Mohammad Shahzad, Noor Ali Zadran,2010-2016,2010,2016,14,0,471,71,33.64,0,4,Afghanistan,Mohammad Shahzad & Noor Ali Zadran
Mohammad Nabi, Najibullah Zadran,2013-2018,2013,2018,14,4,439,69*,43.9,0,4,Afghanistan,Mohammad Nabi & Najibullah Zadran
Najibullah Zadran, Samiullah Shinwari,2013-2018,2013,2018,12,1,279,63,25.36,0,2,Afghanistan,Najibullah Zadran & Samiullah Shinwari
Mohammad Shahzad, Najeeb Tarakai,2014-2017,2014,2017,9,0,274,67,30.44,0,3,Afghanistan,Mohammad Shahzad & Najeeb Tarakai
Mohammad Shahzad, Samiullah Shinwari,2012-2017,2012,2017,5,0,241,80,48.2,0,2,Afghanistan,Mohammad Shahzad & Samiullah Shinwari
Asghar Afghan, Noor Ali Zadran,2010-2017,2010,2017,9,0,231,68,25.66,0,2,Afghanistan,Asghar Afghan & Noor Ali Zadran
Karim Sadiq, Mohammad Shahzad,2010-2018,2010,2018,12,0,221,46,18.41,0,0,Afghanistan,Karim Sadiq & Mohammad Shahzad
Mohammad Nabi, Shafiqullah,2012-2018,2012,2018,10,4,209,38*,34.83,0,0,Afghanistan,Mohammad Nabi & Shafiqullah
Asghar Afghan, Karim Sadiq,2010-2018,2010,2018,9,0,207,56,23,0,1,Afghanistan,Asghar Afghan & Karim Sadiq
Karim Sadiq, Noor Ali Zadran,2010-2016,2010,2016,8,0,173,66,21.62,0,1,Afghanistan,Karim Sadiq & Noor Ali Zadran
Asghar Afghan, Nawroz Mangal,2010-2015,2010,2015,7,0,169,58,24.14,0,2,Afghanistan,Asghar Afghan & Nawroz Mangal
Hazratullah Zazai, Mohammad Shahzad,2016-2018,2016,2018,3,0,136,87,45.33,0,1,Afghanistan,Hazratullah Zazai & Mohammad Shahzad
Asghar Afghan, Mohammad Nabi,2010-2018,2010,2018,15,0,127,43,8.46,0,0,Afghanistan,Asghar Afghan & Mohammad Nabi
Karim Sadiq, Nawroz Mangal,2010-2013,2010,2013,7,0,126,53,18,0,1,Afghanistan,Karim Sadiq & Nawroz Mangal
Mohammad Shahzad, Shafiqullah,2010-2016,2010,2016,6,0,120,47,20,0,0,Afghanistan,Mohammad Shahzad & Shafiqullah
Gulbadin Naib, Mohammad Nabi,2012-2017,2012,2017,5,0,118,52,23.6,0,1,Afghanistan,Gulbadin Naib & Mohammad Nabi
Najibullah Zadran, Noor Ali Zadran,2013-2016,2013,2016,3,0,117,59,39,0,2,Afghanistan,Najibullah Zadran & Noor Ali Zadran
Asghar Afghan, Hazratullah Zazai,2018-2018,2018,2018,1,0,116,116,116,1,0,Afghanistan,Asghar Afghan & Hazratullah Zazai
Asghar Afghan, Shafiqullah,2014-2018,2014,2018,6,1,109,33,21.8,0,0,Afghanistan,Asghar Afghan & Shafiqullah
Asghar Afghan, Najibullah Zadran,2013-2018,2013,2018,4,0,107,49,26.75,0,0,Afghanistan,Asghar Afghan & Najibullah Zadran
Asghar Afghan, Usman Ghani,2015-2018,2015,2018,8,0,100,40,12.5,0,0,Afghanistan,Asghar Afghan & Usman Ghani
Samiullah Shinwari, Usman Ghani,2015-2018,2015,2018,3,0,97,48,32.33,0,0,Afghanistan,Samiullah Shinwari & Usman Ghani
Karim Janat, Mohammad Nabi,2016-2017,2016,2017,3,0,90,40,30,0,0,Afghanistan,Karim Janat & Mohammad Nabi
Mohammad Nabi, Noor Ali Zadran,2013-2016,2013,2016,6,0,87,25,14.5,0,0,Afghanistan,Mohammad Nabi & Noor Ali Zadran
Karim Sadiq, Usman Ghani,2015-2016,2015,2016,3,0,85,46,28.33,0,0,Afghanistan,Karim Sadiq & Usman Ghani
Gulbadin Naib, Najibullah Zadran,2012-2017,2012,2017,8,2,83,30,13.83,0,0,Afghanistan,Gulbadin Naib & Najibullah Zadran
Gulbadin Naib, Samiullah Shinwari,2012-2016,2012,2016,5,0,83,28,16.6,0,0,Afghanistan,Gulbadin Naib & Samiullah Shinwari
Nawroz Mangal, Samiullah Shinwari,2010-2015,2010,2015,5,1,82,28,20.5,0,0,Afghanistan,Nawroz Mangal & Samiullah Shinwari
Mirwais Ashraf, Samiullah Shinwari,2010-2013,2010,2013,6,1,78,26,15.6,0,0,Afghanistan,Mirwais Ashraf & Samiullah Shinwari
Karim Sadiq, Mohammad Nabi,2014-2018,2014,2018,5,0,77,47,15.4,0,0,Afghanistan,Karim Sadiq & Mohammad Nabi
Mohammad Nabi, Mohammad Shahzad,2010-2016,2010,2016,6,0,77,47,12.83,0,0,Afghanistan,Mohammad Nabi & Mohammad Shahzad
Mohammad Nabi, Nawroz Mangal,2010-2015,2010,2015,5,0,77,30,15.4,0,0,Afghanistan,Mohammad Nabi & Nawroz Mangal
Gulbadin Naib, Mohammad Shahzad,2012-2016,2012,2016,5,0,74,33,14.8,0,0,Afghanistan,Gulbadin Naib & Mohammad Shahzad
Samiullah Shinwari, Shafiqullah,2010-2018,2010,2018,7,1,74,30,12.33,0,0,Afghanistan,Samiullah Shinwari & Shafiqullah
Gulbadin Naib, Noor Ali Zadran,2016-2017,2016,2017,5,0,72,45,14.4,0,0,Afghanistan,Gulbadin Naib & Noor Ali Zadran
Gulbadin Naib, Shafiqullah,2015-2015,2015,2015,3,2,71,46*,71,0,0,Afghanistan,Gulbadin Naib & Shafiqullah
Gulbadin Naib, Karim Sadiq,2012-2016,2012,2016,3,0,69,36,23,0,0,Afghanistan,Gulbadin Naib & Karim Sadiq
Najeeb Tarakai, Samiullah Shinwari,2017-2017,2017,2017,2,0,69,54,34.5,0,1,Afghanistan,Najeeb Tarakai & Samiullah Shinwari
Gulbadin Naib, Mirwais Ashraf,2012-2016,2012,2016,5,1,67,25,16.75,0,0,Afghanistan,Gulbadin Naib & Mirwais Ashraf
Dawlat Zadran, Najibullah Zadran,2013-2016,2013,2016,3,1,59,33,29.5,0,0,Afghanistan,Dawlat Zadran & Najibullah Zadran
Hamid Hassan, Mirwais Ashraf,2010-2013,2010,2013,5,2,58,33,19.33,0,0,Afghanistan,Hamid Hassan & Mirwais Ashraf
Mohammad Nabi, Najeeb Tarakai,2017-2017,2017,2017,1,0,57,57,57,0,1,Afghanistan,Mohammad Nabi & Najeeb Tarakai
Najibullah Zadran, Shafiqullah,2013-2017,2013,2017,4,0,53,30,13.25,0,0,Afghanistan,Najibullah Zadran & Shafiqullah
Karim Sadiq, Shabir Noori,2012-2012,2012,2012,1,0,52,52,52,0,1,Afghanistan,Karim Sadiq & Shabir Noori
Mirwais Ashraf, Mohammad Shahzad,2012-2013,2012,2013,2,0,52,29,26,0,0,Afghanistan,Mirwais Ashraf & Mohammad Shahzad
Najibullah Zadran, Rashid Khan,2016-2018,2016,2018,5,2,51,20*,17,0,0,Afghanistan,Najibullah Zadran & Rashid Khan
Asghar Afghan, Najeeb Tarakai,2016-2017,2016,2017,4,0,49,28,12.25,0,0,Afghanistan,Asghar Afghan & Najeeb Tarakai
Karim Janat, Najeeb Tarakai,2017-2017,2017,2017,1,0,49,49,49,0,0,Afghanistan,Karim Janat & Najeeb Tarakai
Karim Janat, Samiullah Shinwari,2017-2017,2017,2017,2,0,46,30,23,0,0,Afghanistan,Karim Janat & Samiullah Shinwari
Afsar Zazai, Nawroz Mangal,2013-2013,2013,2013,1,0,45,45,45,0,0,Afghanistan,Afsar Zazai & Nawroz Mangal
Gulbadin Naib, Shapoor Zadran,2012-2012,2012,2012,1,0,44,44,44,0,0,Afghanistan,Gulbadin Naib & Shapoor Zadran
Karim Janat, Najibullah Zadran,2017-2017,2017,2017,2,1,44,33*,44,0,0,Afghanistan,Karim Janat & Najibullah Zadran
Raees Ahmadzai, Samiullah Shinwari,2010-2010,2010,2010,3,0,43,24,14.33,0,0,Afghanistan,Raees Ahmadzai & Samiullah Shinwari
Nawroz Mangal, Shafiqullah,2010-2014,2010,2014,4,0,42,27,10.5,0,0,Afghanistan,Nawroz Mangal & Shafiqullah
Karim Sadiq, Najibullah Zadran,2016-2016,2016,2016,1,0,41,41,41,0,0,Afghanistan,Karim Sadiq & Najibullah Zadran
Amir Hamza, Rashid Khan,2016-2017,2016,2017,2,0,40,36,20,0,0,Afghanistan,Amir Hamza & Rashid Khan
Mohammad Nabi, Raees Ahmadzai,2010-2010,2010,2010,3,0,40,33,13.33,0,0,Afghanistan,Mohammad Nabi & Raees Ahmadzai
Asghar Afghan, Gulbadin Naib,2016-2016,2016,2016,2,0,38,21,19,0,0,Afghanistan,Asghar Afghan & Gulbadin Naib
Gulbadin Naib, Najeeb Tarakai,2014-2014,2014,2014,1,0,36,36,36,0,0,Afghanistan,Gulbadin Naib & Najeeb Tarakai
